timestamp_utc,timestamp_local,bus_id,block_id,operator_badge,route,lat,lon,speed_mph,heading_deg,odometer_mi,engine_on,doors_open,on_route_flag
2025-10-18T05:00:00Z,2025-10-17 22:00:00,4177,512-OWL,4417,512,34.04512,-117.75498,0.0,0,149533.0,N,N,Y
2025-10-18T05:01:00Z,2025-10-17 22:01:00,4177,512-OWL,4417,512,34.04512,-117.75498,0.0,0,149533.0,N,N,Y
2025-10-18T05:02:00Z,2025-10-17 22:02:00,4177,512-OWL,4417,512,34.04512,-117.75498,0.0,0,149533.0,Y,Y,Y
2025-10-18T05:03:00Z,2025-10-17 22:03:00,4177,512-OWL,4417,512,34.04512,-117.75498,0.0,0,149533.0,Y,Y,Y
2025-10-18T05:05:00Z,2025-10-17 22:05:00,4177,512-OWL,4417,512,34.04512,-117.75498,0.0,0,149533.0,Y,Y,Y
2025-10-18T05:07:00Z,2025-10-17 22:07:00,4177,512-OWL,4417,512,34.04512,-117.75498,0.0,0,149533.0,Y,Y,Y
2025-10-18T05:09:00Z,2025-10-17 22:09:00,4177,512-OWL,4417,512,34.04512,-117.75498,0.0,0,149533.0,Y,Y,Y
2025-10-18T05:11:00Z,2025-10-17 22:11:00,4177,512-OWL,4417,512,34.04512,-117.75498,0.0,0,149533.0,Y,N,Y
2025-10-18T05:13:00Z,2025-10-17 22:13:00,4177,512-OWL,4417,512,34.04512,-117.75498,0.0,0,149533.0,Y,N,Y
2025-10-18T05:14:30Z,2025-10-17 22:14:30,4177,512-OWL,4417,512,34.04516,-117.75498,2.1,0,149533.0,Y,N,Y
2025-10-18T05:15:00Z,2025-10-17 22:15:00,4177,512-OWL,4417,512,34.04528,-117.75492,5.8,20,149533.1,Y,N,Y
2025-10-18T05:15:30Z,2025-10-17 22:15:30,4177,512-OWL,4417,512,34.04562,-117.75478,11.4,25,149533.2,Y,N,Y
2025-10-18T05:16:15Z,2025-10-17 22:16:15,4177,512-OWL,4417,512,34.04640,-117.75440,17.6,28,149533.4,Y,N,Y
2025-10-18T05:17:00Z,2025-10-17 22:17:00,4177,512-OWL,4417,512,34.04735,-117.75395,21.8,30,149533.6,Y,N,Y
2025-10-18T05:18:00Z,2025-10-17 22:18:00,4177,512-OWL,4417,512,34.04880,-117.75320,24.4,32,149533.9,Y,N,Y
2025-10-18T05:19:15Z,2025-10-17 22:19:15,4177,512-OWL,4417,512,34.05060,-117.75220,26.8,32,149534.3,Y,N,Y
2025-10-18T05:20:30Z,2025-10-17 22:20:30,4177,512-OWL,4417,512,34.05248,-117.75110,27.4,34,149534.7,Y,N,Y
2025-10-18T05:22:00Z,2025-10-17 22:22:00,4177,512-OWL,4417,512,34.05470,-117.74990,25.9,32,149535.1,Y,N,Y
2025-10-18T05:23:30Z,2025-10-17 22:23:30,4177,512-OWL,4417,512,34.05690,-117.74905,22.7,26,149535.5,Y,N,Y
2025-10-18T05:25:00Z,2025-10-17 22:25:00,4177,512-OWL,4417,512,34.05910,-117.74830,24.2,20,149535.9,Y,N,Y
2025-10-18T05:26:45Z,2025-10-17 22:26:45,4177,512-OWL,4417,512,34.06175,-117.74760,26.1,18,149536.4,Y,N,Y
2025-10-18T05:28:15Z,2025-10-17 22:28:15,4177,512-OWL,4417,512,34.06420,-117.74695,25.4,15,149536.8,Y,N,Y
2025-10-18T05:30:00Z,2025-10-17 22:30:00,4177,512-OWL,4417,512,34.06695,-117.74620,22.3,12,149537.2,Y,N,Y
2025-10-18T05:32:00Z,2025-10-17 22:32:00,4177,512-OWL,4417,512,34.06970,-117.74560,20.8,8,149537.6,Y,N,Y
2025-10-18T05:34:00Z,2025-10-17 22:34:00,4177,512-OWL,4417,512,34.07220,-117.74520,18.5,4,149538.0,Y,N,Y
2025-10-18T05:36:00Z,2025-10-17 22:36:00,4177,512-OWL,4417,512,34.07450,-117.74500,17.2,0,149538.4,Y,N,Y
2025-10-18T05:38:00Z,2025-10-17 22:38:00,4177,512-OWL,4417,512,34.07670,-117.74500,16.9,0,149538.7,Y,N,Y
2025-10-18T05:40:00Z,2025-10-17 22:40:00,4177,512-OWL,4417,512,34.07890,-117.74500,14.5,0,149539.1,Y,N,Y
2025-10-18T05:41:30Z,2025-10-17 22:41:30,4177,512-OWL,4417,512,34.08095,-117.74500,10.2,0,149539.3,Y,N,Y
2025-10-18T05:42:15Z,2025-10-17 22:42:15,4177,512-OWL,4417,512,34.08245,-117.74500,5.6,0,149539.4,Y,N,Y
2025-10-18T05:42:45Z,2025-10-17 22:42:45,4177,512-OWL,4417,512,34.08420,-117.74500,3.1,0,149539.5,Y,Y,Y
2025-10-18T05:43:00Z,2025-10-17 22:43:00,4177,512-OWL,4417,512,34.08498,-117.74500,0.0,0,149539.5,Y,Y,Y
2025-10-18T05:43:30Z,2025-10-17 22:43:30,4177,512-OWL,4417,512,34.08498,-117.74500,0.0,0,149539.5,Y,Y,Y
2025-10-18T05:44:15Z,2025-10-17 22:44:15,4177,512-OWL,4417,512,34.08498,-117.74500,0.0,0,149539.5,Y,Y,Y
2025-10-18T05:45:00Z,2025-10-17 22:45:00,4177,512-OWL,4417,512,34.08490,-117.74500,3.4,180,149539.5,Y,N,Y
2025-10-18T05:45:30Z,2025-10-17 22:45:30,4177,512-OWL,4417,512,34.08442,-117.74500,10.8,180,149539.6,Y,N,Y
2025-10-18T05:46:15Z,2025-10-17 22:46:15,4177,512-OWL,4417,512,34.08370,-117.74500,17.6,180,149539.7,Y,N,Y
2025-10-18T05:47:00Z,2025-10-17 22:47:00,4177,512-OWL,4417,512,34.08262,-117.74500,20.4,180,149539.9,Y,N,Y
2025-10-18T05:48:00Z,2025-10-17 22:48:00,4177,512-OWL,4417,512,34.08120,-117.74500,22.6,180,149540.1,Y,N,Y
2025-10-18T05:49:15Z,2025-10-17 22:49:15,4177,512-OWL,4417,512,34.07960,-117.74500,17.8,180,149540.3,Y,N,Y
2025-10-18T05:50:00Z,2025-10-17 22:50:00,4177,512-OWL,4417,512,34.07875,-117.74500,8.4,180,149540.4,Y,Y,Y
2025-10-18T05:50:45Z,2025-10-17 22:50:45,4177,512-OWL,4417,512,34.07870,-117.74500,0.0,180,149540.4,Y,Y,Y
2025-10-18T05:51:00Z,2025-10-17 22:51:00,4177,512-OWL,4417,512,34.07862,-117.74500,4.5,180,149540.5,Y,N,Y
2025-10-18T05:52:00Z,2025-10-17 22:52:00,4177,512-OWL,4417,512,34.07740,-117.74500,18.6,180,149540.6,Y,N,Y
2025-10-18T05:53:15Z,2025-10-17 22:53:15,4177,512-OWL,4417,512,34.07570,-117.74500,22.4,180,149540.8,Y,N,Y
2025-10-18T05:54:30Z,2025-10-17 22:54:30,4177,512-OWL,4417,512,34.07390,-117.74498,17.9,182,149541.0,Y,N,Y
2025-10-18T05:55:15Z,2025-10-17 22:55:15,4177,512-OWL,4417,512,34.07280,-117.74490,10.4,178,149541.1,Y,N,Y
2025-10-18T05:56:00Z,2025-10-17 22:56:00,4177,512-OWL,4417,512,34.07200,-117.74472,4.8,140,149541.2,Y,N,Y
2025-10-18T05:57:00Z,2025-10-17 22:57:00,4177,512-OWL,4417,512,34.07120,-117.74430,12.6,130,149541.3,Y,N,Y
2025-10-18T05:58:00Z,2025-10-17 22:58:00,4177,512-OWL,4417,512,34.06960,-117.74340,18.4,128,149541.5,Y,N,Y
2025-10-18T05:59:15Z,2025-10-17 22:59:15,4177,512-OWL,4417,512,34.06820,-117.74240,22.5,132,149541.7,Y,N,Y
2025-10-18T06:00:30Z,2025-10-17 23:00:30,4177,512-OWL,4417,512,34.06720,-117.74125,18.2,140,149541.9,Y,N,Y
2025-10-18T06:01:30Z,2025-10-17 23:01:30,4177,512-OWL,4417,512,34.06680,-117.74020,10.2,145,149542.0,Y,N,Y
2025-10-18T06:02:15Z,2025-10-17 23:02:15,4177,512-OWL,4417,512,34.06670,-117.73980,3.0,148,149542.0,Y,Y,Y
2025-10-18T06:02:45Z,2025-10-17 23:02:45,4177,512-OWL,4417,512,34.06670,-117.73980,0.0,148,149542.0,Y,Y,Y
2025-10-18T06:03:15Z,2025-10-17 23:03:15,4177,512-OWL,4417,512,34.06665,-117.73970,3.2,140,149542.1,Y,N,Y
2025-10-18T06:04:15Z,2025-10-17 23:04:15,4177,512-OWL,4417,512,34.06580,-117.73880,15.4,138,149542.2,Y,N,Y
2025-10-18T06:05:30Z,2025-10-17 23:05:30,4177,512-OWL,4417,512,34.06440,-117.73760,20.5,138,149542.4,Y,N,Y
2025-10-18T06:07:00Z,2025-10-17 23:07:00,4177,512-OWL,4417,512,34.06255,-117.73620,22.4,138,149542.7,Y,N,Y
2025-10-18T06:08:30Z,2025-10-17 23:08:30,4177,512-OWL,4417,512,34.06060,-117.73510,19.1,140,149542.9,Y,N,Y
2025-10-18T06:10:00Z,2025-10-17 23:10:00,4177,512-OWL,4417,512,34.05870,-117.73410,15.4,142,149543.1,Y,N,Y
