timestamp,bus_id,block_id,route,stop_id,stop_name,direction,boardings,alightings,onboard_count,fare_type,farebox_txn_id
2025-10-17T22:15:03,4177,512-OWL,512,YARD-D3,Div. 3 Rivergate Yard,DEADHEAD_OUT,0,0,0,,
2025-10-17T22:42:11,4177,512-OWL,512,51205,S. Main/Fifth,DEADHEAD_OUT,0,0,0,,
2025-10-17T22:45:22,4177,512-OWL,512,51205,S. Main/Fifth,SB,1,0,1,ADULT_CASH,TXN-4177-20251017-000141
2025-10-17T22:51:38,4177,512-OWL,512,51203,S. Main/Third,SB,1,0,2,ADULT_TAP,TXN-4177-20251017-000142
2025-10-17T22:58:14,4177,512-OWL,512,51218,Downtown Loop-Civic Ctr,SB,0,1,1,,
2025-10-17T23:07:41,4177,512-OWL,512,51229,Alder Creek/Broadway,SB,0,1,0,,
2025-10-17T23:19:02,4177,512-OWL,512,51239,Poplar/Rivergate Plaza,SB,0,0,0,,
2025-10-17T23:24:17,4177,512-OWL,512,51239,Poplar/Rivergate Plaza,NB,1,0,1,ADULT_CASH,TXN-4177-20251017-000143
2025-10-17T23:35:22,4177,512-OWL,512,51229,Alder Creek/Broadway,NB,0,0,1,,
2025-10-17T23:44:08,4177,512-OWL,512,51218,Downtown Loop-Civic Ctr,NB,0,1,0,,
2025-10-17T23:51:44,4177,512-OWL,512,51203,S. Main/Third,NB,0,0,0,,
2025-10-17T23:57:11,4177,512-OWL,512,51205,S. Main/Fifth,NB,0,0,0,,
2025-10-18T00:05:24,4177,512-OWL,512,51205,S. Main/Fifth,SB,1,0,1,ADULT_CASH,TXN-4177-20251018-000144
2025-10-18T00:11:37,4177,512-OWL,512,51203,S. Main/Third,SB,0,0,1,,
2025-10-18T00:18:15,4177,512-OWL,512,51218,Downtown Loop-Civic Ctr,SB,0,0,1,,
2025-10-18T00:27:52,4177,512-OWL,512,51229,Alder Creek/Broadway,SB,0,0,1,,
2025-10-18T00:39:19,4177,512-OWL,512,51239,Poplar/Rivergate Plaza,SB,0,0,1,,
2025-10-18T00:44:33,4177,512-OWL,512,51239,Poplar/Rivergate Plaza,NB,0,0,1,,
2025-10-18T00:55:07,4177,512-OWL,512,51229,Alder Creek/Broadway,NB,1,0,2,ADULT_TAP,TXN-4177-20251018-000145
2025-10-18T01:04:41,4177,512-OWL,512,51218,Downtown Loop-Civic Ctr,NB,0,0,2,,
2025-10-18T01:11:26,4177,512-OWL,512,51203,S. Main/Third,NB,0,1,1,,
2025-10-18T01:17:04,4177,512-OWL,512,51205,S. Main/Fifth,NB,0,0,1,,
2025-10-18T01:25:19,4177,512-OWL,512,51205,S. Main/Fifth,SB,1,0,2,ADULT_TAP,TXN-4177-20251018-000146
2025-10-18T01:31:47,4177,512-OWL,512,51203,S. Main/Third,SB,1,0,3,ADULT_CASH,TXN-4177-20251018-000147
2025-10-18T01:38:22,4177,512-OWL,512,51218,Downtown Loop-Civic Ctr,SB,0,0,3,,
2025-10-18T01:47:38,4177,512-OWL,512,51229,Alder Creek/Broadway,SB,0,0,3,,
2025-10-18T01:59:04,4177,512-OWL,512,51239,Poplar/Rivergate Plaza,SB,0,0,3,,
2025-10-18T02:04:12,4177,512-OWL,512,51239,Poplar/Rivergate Plaza,NB,0,0,3,,
2025-10-18T02:05:37,4177,512-OWL,512,51203,S. Main/Third,NB,0,0,3,,
